,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
467,New Zealand,2022-06-13 04:21:14,-40.9006,174.886,1242497,1267.0,,,New Zealand,25766.009232652177,0.1019720771961622,2022-06-12
3686,New Zealand,2020-06-14 03:33:15,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-13
447,New Zealand,2021-06-14 04:22:46,-40.9006,174.886,2709,26.0,2656.0,27.0,New Zealand,56.17729379729266,0.9597637504614248,2021-06-13
467,New Zealand,2022-06-14 04:20:52,-40.9006,174.886,1248852,1286.0,,,New Zealand,25897.79465239444,0.102974571846784,2022-06-13
3686,New Zealand,2020-06-15 03:33:14,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-14
447,New Zealand,2021-06-15 04:22:22,-40.9006,174.886,2709,26.0,2656.0,27.0,New Zealand,56.17729379729266,0.9597637504614248,2021-06-14
467,New Zealand,2022-06-15 04:20:54,-40.9006,174.886,1254560,1295.0,,,New Zealand,26016.16305143281,0.1032234408876418,2022-06-14
3691,New Zealand,2020-06-16 04:33:09,-40.9006,174.886,1506,22.0,1482.0,2.0,New Zealand,31.230344946003232,1.4608233731739708,2020-06-15
447,New Zealand,2021-06-16 04:22:32,-40.9006,174.886,2711,26.0,2662.0,23.0,New Zealand,56.218768358973946,0.9590556990040576,2021-06-15
467,New Zealand,2022-06-16 04:20:55,-40.9006,174.886,1260441,1308.0,,,New Zealand,26138.119000056613,0.1037732031884078,2022-06-15
3689,New Zealand,2020-06-17 04:33:21,-40.9006,174.886,1506,22.0,1482.0,2.0,New Zealand,31.230344946003232,1.4608233731739708,2020-06-16
447,New Zealand,2021-06-17 04:22:36,-40.9006,174.886,2713,26.0,2663.0,24.0,New Zealand,56.26024292065522,0.9583486914854404,2021-06-16
467,New Zealand,2022-06-17 04:20:56,-40.9006,174.886,1265455,1315.0,,,New Zealand,26242.09572619158,0.103915192559198,2022-06-16
3692,New Zealand,2020-06-18 04:33:18,-40.9006,174.886,1507,22.0,1482.0,3.0,New Zealand,31.25108222684387,1.45985401459854,2020-06-17
448,New Zealand,2021-06-18 04:22:16,-40.9006,174.886,2714,26.0,2665.0,23.0,New Zealand,56.280980201495865,0.9579955784819456,2021-06-17
467,New Zealand,2022-06-18 04:21:10,-40.9006,174.886,1270039,1324.0,,,New Zealand,26337.155421565072,0.104248767163843,2022-06-17
3693,New Zealand,2020-06-19 04:33:17,-40.9006,174.886,1507,22.0,1482.0,3.0,New Zealand,31.25108222684387,1.45985401459854,2020-06-18
448,New Zealand,2021-06-19 04:22:33,-40.9006,174.886,2714,26.0,2665.0,23.0,New Zealand,56.280980201495865,0.9579955784819456,2021-06-18
467,New Zealand,2022-06-19 04:20:51,-40.9006,174.886,1273389,1329.0,,,New Zealand,26406.625312381213,0.1043671651003738,2022-06-18
