,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
36,New York,US,2021-08-21 04:31:06,42.1657,-74.9481,2227140,53974,,,36.0,11448.495213806871,63623619.0,,2.423466867821511,84000036.0,USA,327053.84376670164,,2021-08-20,,
36,New York,US,2020-08-22 04:30:29,42.1657,-74.9481,428512,32698,74485.0,321329.0,36.0,2202.743240684829,,89995.0,,84000036.0,USA,38307.98381848958,21.00174557538645,2020-08-21,7452267.0,7.6305914420132925
36,New York,US,2021-08-22 04:31:19,42.1657,-74.9481,2233083,54012,,,36.0,11479.044890547288,63786439.0,,2.4187188743096426,84000036.0,USA,327890.811353253,,2021-08-21,,
36,New York,US,2020-08-23 04:30:28,42.1657,-74.9481,429165,32705,74553.0,321907.0,36.0,2206.0999525999378,,89995.0,,84000036.0,USA,38795.550079494446,20.969790173942425,2020-08-22,7547116.0,7.620612118882015
36,New York,US,2021-08-23 04:31:10,42.1657,-74.9481,2237639,54029,,,36.0,11502.464767247498,63956155.0,,2.414553911511196,84000036.0,USA,328763.227462571,,2021-08-22,,
36,New York,US,2020-08-24 04:30:23,42.1657,-74.9481,429737,32717,74640.0,322380.0,36.0,2209.0402883050565,,89995.0,,84000036.0,USA,39176.16419944914,20.941878404698688,2020-08-23,7621159.0,7.613261134135529
36,New York,US,2021-08-24 04:31:24,42.1657,-74.9481,2241468,54054,,,36.0,11522.147538951864,64100220.0,,2.411544577036121,84000036.0,USA,329503.78596494487,,2021-08-23,,
36,New York,US,2020-08-25 04:30:29,42.1657,-74.9481,430145,32721,74684.0,322740.0,36.0,2211.13759069612,,89995.0,,84000036.0,USA,39495.03126959635,20.922014669471928,2020-08-24,7683190.0,7.606969742761162
36,New York,US,2021-08-25 04:31:23,42.1657,-74.9481,2244898,54070,,,36.0,11539.779272288502,64201905.0,,2.4085726834804966,84000036.0,USA,330026.4923218941,,2021-08-24,,
36,New York,US,2020-08-26 04:30:22,42.1657,-74.9481,430774,32752,74731.0,323291.0,36.0,2214.3709318823426,,89995.0,,84000036.0,USA,39840.752035064426,20.89146513020749,2020-08-25,7750445.0,7.603058680421753
36,New York,US,2021-08-26 04:31:02,42.1657,-74.9481,2248791,54100,,,36.0,11559.791032603234,64290823.0,,2.4057371271941235,84000036.0,USA,330483.5705915231,,2021-08-25,,
36,New York,US,2020-08-27 04:30:22,42.1657,-74.9481,431340,32755,74791.0,323794.0,36.0,2217.28042490524,,89995.0,,84000036.0,USA,40206.69531917576,20.86405156025409,2020-08-26,7821634.0,7.593777530486391
36,New York,US,2021-08-27 04:30:55,42.1657,-74.9481,2254155,54130,,,36.0,11587.364390509274,64432442.0,,2.4013432971556967,84000036.0,USA,331211.5555604447,,2021-08-26,,
36,New York,US,2020-08-28 04:30:22,42.1657,-74.9481,432131,32760,74850.0,324521.0,36.0,2221.346518511444,,89995.0,,84000036.0,USA,40635.59879859528,20.825860676507823,2020-08-27,7905071.0,7.58103445482967
36,New York,US,2021-08-28 04:31:04,42.1657,-74.9481,2260536,54152,,,36.0,11620.165583051865,64592996.0,,2.3955380493829783,84000036.0,USA,332036.8748940104,,2021-08-27,,
36,New York,US,2020-08-29 04:30:22,42.1657,-74.9481,432767,32768,74923.0,325076.0,36.0,2224.615842826925,,,,84000036.0,USA,41138.468170429056,,2020-08-28,8002897.0,7.571741837986723
36,New York,US,2021-08-29 04:31:43,42.1657,-74.9481,2262893,54159,,,36.0,11632.281616717884,64767808.0,,2.3933522265524707,84000036.0,USA,332935.4867214285,,2021-08-28,,
36,New York,US,2020-08-30 04:30:24,42.1657,-74.9481,433402,32772,74990.0,325640.0,36.0,2227.880026695369,,,,84000036.0,USA,41621.01735512589,,2020-08-29,8096770.0,7.561571012593389
36,New York,US,2021-08-30 04:30:57,42.1657,-74.9481,2269038,54199,,,36.0,11663.86966375976,64767808.0,,2.3886334208594127,84000036.0,USA,332935.4867214285,,2021-08-29,,
36,New York,US,2020-08-31 04:30:24,42.1657,-74.9481,434100,32785,75062.0,326253.0,36.0,2231.46805872714,,,,84000036.0,USA,42135.175148652736,,2020-08-30,8196792.0,7.552407279428703
36,New York,US,2021-08-31 04:31:21,42.1657,-74.9481,2274680,54230,,,36.0,11692.872065942063,65096274.0,,2.384071605676403,84000036.0,USA,334623.9487978576,,2021-08-30,,
36,New York,US,2020-09-01 04:30:22,42.1657,-74.9481,437154,32791,75100.0,329263.0,36.0,2247.1669839778947,,,,84000036.0,USA,42475.68350082538,,2020-08-31,8263033.0,7.501017947908517
36,New York,US,2021-09-01 04:30:44,42.1657,-74.9481,2278590,54254,,,36.0,11712.971213856425,65203599.0,,2.3810338849902792,84000036.0,USA,335175.6472760951,,2021-08-31,,
36,New York,US,2020-09-02 04:30:23,42.1657,-74.9481,437757,32800,75142.0,329815.0,36.0,2250.2666735411576,,,,84000036.0,USA,42871.482501327126,,2020-09-01,8340030.0,7.492741406762199
36,New York,US,2021-09-02 04:31:17,42.1657,-74.9481,2282836,54282,,,36.0,11734.797551975187,65299178.0,,2.377831784674852,84000036.0,USA,335666.96606343694,,2021-09-01,,
36,New York,US,2020-09-03 04:30:31,42.1657,-74.9481,438405,32806,75203.0,330396.0,36.0,2253.597683221082,,,,84000036.0,USA,43326.13962040164,,2020-09-02,8428477.0,7.483035093121657
36,New York,US,2021-09-03 04:32:21,42.1657,-74.9481,2288001,54333,,,36.0,11761.347960920884,65445674.0,,2.3746930180537507,84000036.0,USA,336420.02099255763,,2021-09-02,,
36,New York,US,2020-09-04 04:30:31,42.1657,-74.9481,439322,32810,75255.0,331257.0,36.0,2258.311473153938,,,,84000036.0,USA,43783.541738193846,,2020-09-03,8517458.0,7.468326193543688
36,New York,US,2021-09-04 04:31:08,42.1657,-74.9481,2293966,54361,,,36.0,11792.010727496112,65609600.0,,2.3697386970861816,84000036.0,USA,337262.6739135318,,2021-09-03,,
36,New York,US,2020-09-05 04:30:29,42.1657,-74.9481,440192,32816,75307.0,332069.0,36.0,2262.783662076059,,,,84000036.0,USA,44263.63378920702,,2020-09-04,8610853.0,7.454928758359989
36,New York,US,2021-09-05 04:31:15,42.1657,-74.9481,2297642,54378,,,36.0,11810.907010803832,65789818.0,,2.366687238481887,84000036.0,USA,338189.07499763154,,2021-09-04,,
36,New York,US,2020-09-06 04:30:30,42.1657,-74.9481,441012,32821,75366.0,332825.0,36.0,2266.998828646333,,,,84000036.0,USA,44776.449926057234,,2020-09-05,8710614.0,7.44220111924392
36,New York,US,2021-09-06 04:31:49,42.1657,-74.9481,2303739,54420,,,36.0,11842.248316387935,65947120.0,,2.3622467649330066,84000036.0,USA,338997.6775974332,,2021-09-05,,
36,New York,US,2020-09-07 04:30:33,42.1657,-74.9481,441748,32821,75425.0,333502.0,36.0,2270.7821976655077,,,,84000036.0,USA,45216.62640582874,,2020-09-06,8796244.0,7.429801606345699
36,New York,US,2021-09-07 04:31:55,42.1657,-74.9481,2307414,54449,,,36.0,11861.139459248618,66095265.0,,2.359741251461593,84000036.0,USA,339759.2091237177,,2021-09-06,,
36,New York,US,2020-09-08 04:30:25,42.1657,-74.9481,442315,32836,75471.0,334008.0,36.0,2273.696831135441,,,,84000036.0,USA,45519.21882065705,,2020-09-07,8855109.0,7.42366865243096
36,New York,US,2021-09-08 04:31:29,42.1657,-74.9481,2310662,54481,,,36.0,11877.835631224536,66195553.0,,2.357809147335266,84000036.0,USA,340274.7342761564,,2021-09-07,,
36,New York,US,2020-09-09 04:30:32,42.1657,-74.9481,442817,32850,75503.0,334464.0,36.0,2276.277335547975,,,,84000036.0,USA,45816.47031101401,,2020-09-08,8912935.0,7.41841437885176
36,New York,US,2021-09-09 04:31:04,42.1657,-74.9481,2313361,54500,,,36.0,11891.709697777183,66278869.0,,2.355879605474459,84000036.0,USA,340703.0157614845,,2021-09-08,,
36,New York,US,2020-09-10 04:30:24,42.1657,-74.9481,443409,32854,75539.0,335016.0,36.0,2279.320480193832,,,,84000036.0,USA,46141.500777158486,,2020-09-09,8976165.0,7.409412077788227
36,New York,US,2021-09-10 04:31:45,42.1657,-74.9481,2319680,54569,,,36.0,11924.192182603483,66382477.0,,2.352436542971444,84000036.0,USA,341235.6071980857,,2021-09-09,,
36,New York,US,2020-09-11 04:30:23,42.1657,-74.9481,444071,32854,75584.0,335633.0,36.0,2282.723456132273,,,,84000036.0,USA,46536.35393540545,,2020-09-10,9052978.0,7.3983664774326625
36,New York,US,2021-09-11 04:31:41,42.1657,-74.9481,2325332,54599,,,36.0,11953.245989256156,66559152.0,,2.3480088004637616,84000036.0,USA,342143.7956783337,,2021-09-10,,
36,New York,US,2020-09-12 04:30:24,42.1657,-74.9481,445102,32854,75649.0,336599.0,36.0,2288.023257027338,,,,84000036.0,USA,46997.56512445202,,2020-09-11,9142700.0,7.381229470997659
