,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
593,South Africa,2021-02-12 05:23:29,-30.5595,22.9375,1484900,47382.0,1377980.0,59538.0,South Africa,2503.680320708483,3.1909219476058994,2021-02-11
615,South Africa,2022-02-12 04:21:06,-30.5595,22.9375,3637673,96851.0,,,South Africa,6133.4570026753245,2.6624438205413186,2022-02-11
593,South Africa,2021-02-13 05:22:12,-30.5595,22.9375,1487681,47670.0,1383626.0,56385.0,South Africa,2508.369346886603,3.2043159790304507,2021-02-12
615,South Africa,2022-02-13 04:21:00,-30.5595,22.9375,3640162,96985.0,,,South Africa,6137.65368953521,2.6643045007337585,2022-02-12
593,South Africa,2021-02-14 05:23:43,-30.5595,22.9375,1490063,47821.0,1385996.0,56246.0,South Africa,2512.385621736039,3.209327390855286,2021-02-13
615,South Africa,2022-02-14 04:20:51,-30.5595,22.9375,3641811,96993.0,,,South Africa,6140.434057808392,2.663317783377556,2022-02-13
593,South Africa,2021-02-15 05:24:49,-30.5595,22.9375,1491807,47899.0,1388321.0,55587.0,South Africa,2515.3261688970038,3.210804078543672,2021-02-14
615,South Africa,2022-02-15 04:21:09,-30.5595,22.9375,3642905,97250.0,,,South Africa,6142.278644158217,2.669572772279266,2022-02-14
593,South Africa,2021-02-16 05:24:38,-30.5595,22.9375,1492909,48094.0,1391155.0,53660.0,South Africa,2517.184243995273,3.22149575091315,2021-02-15
615,South Africa,2022-02-16 04:21:10,-30.5595,22.9375,3645269,97431.0,,,South Africa,6146.264569323654,2.6728068628131423,2022-02-15
593,South Africa,2021-02-17 05:23:10,-30.5595,22.9375,1494119,48313.0,1396951.0,48855.0,South Africa,2519.224417197547,3.2335443160819186,2021-02-16
615,South Africa,2022-02-17 04:20:56,-30.5595,22.9375,3648968,97520.0,,,South Africa,6152.501429385812,2.6725364541426506,2022-02-16
593,South Africa,2021-02-18 05:22:58,-30.5595,22.9375,1496439,48478.0,1399829.0,48132.0,South Africa,2523.136154246536,3.239557375876999,2021-02-17
615,South Africa,2022-02-18 04:21:04,-30.5595,22.9375,3652024,97955.0,,,South Africa,6157.6541312917225,2.682211288863381,2022-02-17
593,South Africa,2021-02-19 05:24:16,-30.5595,22.9375,1498766,48708.0,1403214.0,46844.0,South Africa,2527.0596939504144,3.249873562650874,2021-02-18
615,South Africa,2022-02-19 04:21:11,-30.5595,22.9375,3654824,98298.0,,,South Africa,6162.375193247398,2.6895412747645304,2022-02-18
594,South Africa,2021-02-20 05:22:51,-30.5595,22.9375,1500677,48859.0,1406907.0,44911.0,South Africa,2530.281818735164,3.2557972168561258,2021-02-19
615,South Africa,2022-02-20 04:21:00,-30.5595,22.9375,3657091,98617.0,,,South Africa,6166.197567337939,2.696596830650372,2022-02-19
594,South Africa,2021-02-21 05:24:33,-30.5595,22.9375,1502367,48940.0,1409553.0,43874.0,South Africa,2533.131316844125,3.2575262901807616,2021-02-20
615,South Africa,2022-02-21 04:21:05,-30.5595,22.9375,3658547,98667.0,,,South Africa,6168.652519554891,2.696890322852214,2022-02-20
594,South Africa,2021-02-22 05:24:21,-30.5595,22.9375,1503796,49053.0,1412015.0,42728.0,South Africa,2535.540744535076,3.2619451042561622,2021-02-21
615,South Africa,2022-02-22 04:21:01,-30.5595,22.9375,3659698,98804.0,,,South Africa,6170.593213237386,2.6997856107252565,2022-02-21
594,South Africa,2021-02-23 05:23:41,-30.5595,22.9375,1504588,49150.0,1413566.0,41872.0,South Africa,2536.87613063111,3.266674996743294,2021-02-22
615,South Africa,2022-02-23 04:21:09,-30.5595,22.9375,3662032,98868.0,,,South Africa,6174.528555596154,2.6998125630797327,2022-02-22
594,South Africa,2021-02-24 05:29:16,-30.5595,22.9375,1505586,49413.0,1419459.0,36714.0,South Africa,2538.558851999597,3.281977914247343,2021-02-23
615,South Africa,2022-02-24 04:21:14,-30.5595,22.9375,3665149,98978.0,,,South Africa,6179.784109208954,2.70051776885469,2022-02-23
594,South Africa,2021-02-25 05:24:57,-30.5595,22.9375,1507448,49523.0,1422622.0,35303.0,South Africa,2541.698358200122,3.2852211154215603,2021-02-24
615,South Africa,2022-02-25 04:21:11,-30.5595,22.9375,3667560,99018.0,,,South Africa,6183.849280771503,2.6998331315643096,2022-02-24
594,South Africa,2021-02-26 05:22:40,-30.5595,22.9375,1509124,49667.0,1424401.0,35056.0,South Africa,2544.5242509993054,3.2911145803790807,2021-02-25
615,South Africa,2022-02-26 04:21:12,-30.5595,22.9375,3669671,99145.0,,,South Africa,6187.40862426737,2.701740837257618,2022-02-25
594,South Africa,2021-02-27 05:22:28,-30.5595,22.9375,1510778,49784.0,1426417.0,34577.0,South Africa,2547.313049740266,3.295255821834843,2021-02-26
615,South Africa,2022-02-27 04:21:04,-30.5595,22.9375,3671991,99191.0,,,South Africa,6191.320361316361,2.701286577227449,2022-02-26
594,South Africa,2021-02-28 05:22:20,-30.5595,22.9375,1512225,49941.0,1429047.0,33237.0,South Africa,2549.752827115217,3.30248474929326,2021-02-27
615,South Africa,2022-02-28 04:21:05,-30.5595,22.9375,3673257,99229.0,,,South Africa,6193.454955757748,2.7013900742583488,2022-02-27
594,South Africa,2021-03-01 05:23:01,-30.5595,22.9375,1513393,49993.0,1430259.0,33141.0,South Africa,2551.722184388156,3.3033719595637088,2021-02-28
615,South Africa,2022-03-01 04:21:09,-30.5595,22.9375,3674042,99412.0,,,South Africa,6194.778539198893,2.705793782433625,2022-02-28
594,South Africa,2021-03-02 05:23:30,-30.5595,22.9375,1513959,50077.0,1431336.0,32546.0,South Africa,2552.676513340625,3.3076853468290754,2021-03-01
615,South Africa,2022-03-02 04:21:07,-30.5595,22.9375,3675691,99430.0,,,South Africa,6197.5589074720765,2.705069604599516,2022-03-01
